SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000001812	Ykr104Wp	YKR104W	3244.0	molecules/cell
S000001813	Vba5p	YKR105C	""	""
S000001814	Gex2p	YKR106W	""	""
S000001817	Yal065Cp	YAL065C	""	molecules/cell
S000001821	Yar030Cp	YAR030C	""	""
S000001826	Yfl068Wp	YFL068W	""	molecules/cell
S000001827	Yfl067Wp	YFL067W	""	""
S000001828	Yfl066Cp	YFL066C	994.0	molecules/cell
S000001829	Yfl065Cp	YFL065C	1272.0	molecules/cell
S000001830	Yfl064Cp	YFL064C	1259.0	molecules/cell
S000001831	Yfl063Wp	YFL063W	""	""
S000001832	Cos4p	YFL062W	224.0	molecules/cell
S000001833	Ddi3p	YFL061W	1146.0	molecules/cell
S000001834	Sno3p	YFL060C	195.0	molecules/cell
S000001835	Snz3p	YFL059W	1163.0	molecules/cell
S000001836	Thi5p	YFL058W	1193.0	molecules/cell
S000001838	Aad6p	YFL056C	""	""
S000001839	Agp3p	YFL055W	""	molecules/cell
S000001840	Aqy3p	YFL054C	182.0	molecules/cell
S000001841	Dak2p	YFL053W	246.0	molecules/cell
S000001842	Znf1p	YFL052W	""	""
S000001843	Yfl051Cp	YFL051C	""	molecules/cell
S000001844	Alr2p	YFL050C	1558.0	molecules/cell
S000001845	Swp82p	YFL049W	2501.0	molecules/cell
S000001846	Emp47p	YFL048C	6864.0	molecules/cell
S000001847	Rgd2p	YFL047W	2859.0	molecules/cell
S000001848	Fmp32p	YFL046W	1023.0	molecules/cell
S000001849	Sec53p	YFL045C	33587.0	molecules/cell
S000001850	Otu1p	YFL044C	2682.0	molecules/cell
S000001852	Lam5p	YFL042C	1032.0	molecules/cell
S000001853	Fet5p	YFL041W	4041.0	molecules/cell
S000001854	Yfl040Wp	YFL040W	""	molecules/cell
S000001855	Act1p	YFL039C	59660.0	molecules/cell
S000001856	Ypt1p	YFL038C	17705.0	molecules/cell
S000001857	Tub2p	YFL037W	18960.0	molecules/cell
S000001858	Rpo41p	YFL036W	3689.0	molecules/cell
S000001859	Mob2p	YFL034C-B	2203.0	molecules/cell
S000001860	Mil1p	YFL034W	1520.0	molecules/cell
S000001861	Rim15p	YFL033C	1302.0	molecules/cell
S000001862	Yfl032Wp	YFL032W	""	""
S000001863	Hac1p	YFL031W	5374.0	molecules/cell
S000001864	Agx1p	YFL030W	1909.0	molecules/cell
S000001865	Cak1p	YFL029C	3296.0	molecules/cell
S000001866	Caf16p	YFL028C	4946.0	molecules/cell
S000001867	Gyp8p	YFL027C	580.0	molecules/cell
S000001868	Ste2p	YFL026W	4771.0	molecules/cell
S000001869	Bst1p	YFL025C	434.0	molecules/cell
S000001870	Epl1p	YFL024C	1393.0	molecules/cell
S000001871	Bud27p	YFL023W	2709.0	molecules/cell
S000001872	Frs2p	YFL022C	27994.0	molecules/cell
S000001873	Gat1p	YFL021W	3025.0	molecules/cell
S000001874	Pau5p	YFL020C	""	""
S000001875	Yfl019Cp	YFL019C	""	""
S000001876	Lpd1p	YFL018C	23937.0	molecules/cell
S000001877	Gna1p	YFL017C	4091.0	molecules/cell
S000001878	Mdj1p	YFL016C	5987.0	molecules/cell
S000001879	Yfl015Cp	YFL015C	""	""
S000001880	Hsp12p	YFL014W	32928.0	molecules/cell
S000001881	Ies1p	YFL013C	2723.0	molecules/cell
S000001882	Yfl012Wp	YFL012W	1186.0	molecules/cell
S000001883	Hxt10p	YFL011W	2622.0	molecules/cell
S000001884	Wwm1p	YFL010C	5813.0	molecules/cell
S000001885	Cdc4p	YFL009W	1191.0	molecules/cell
S000001886	Smc1p	YFL008W	3618.0	molecules/cell
S000001887	Blm10p	YFL007W	2995.0	molecules/cell
S000001889	Sec4p	YFL005W	19002.0	molecules/cell
S000001890	Vtc2p	YFL004W	5824.0	molecules/cell
S000001891	Msh4p	YFL003C	952.0	molecules/cell
S000001894	Spb4p	YFL002C	2950.0	molecules/cell
S000001895	Deg1p	YFL001W	2973.0	molecules/cell
S000001897	Loc1p	YFR001W	3874.0	molecules/cell
S000001898	Nic96p	YFR002W	4862.0	molecules/cell
S000001899	Ypi1p	YFR003C	1527.0	molecules/cell
S000001900	Rpn11p	YFR004W	16400.0	molecules/cell
S000001901	Sad1p	YFR005C	1383.0	molecules/cell
S000001902	Yfr006Wp	YFR006W	3600.0	molecules/cell
S000001903	Yfh7p	YFR007W	1437.0	molecules/cell
S000001904	Far7p	YFR008W	1516.0	molecules/cell
S000001905	Gcn20p	YFR009W	13923.0	molecules/cell
S000001906	Ubp6p	YFR010W	9653.0	molecules/cell
S000001907	Mic19p	YFR011C	4663.0	molecules/cell
S000001908	Dcv1p	YFR012W	1166.0	molecules/cell
S000001909	Ioc3p	YFR013W	2190.0	molecules/cell
S000001910	Cmk1p	YFR014C	3461.0	molecules/cell
S000001911	Gsy1p	YFR015C	4748.0	molecules/cell
S000001912	Aip5p	YFR016C	3459.0	molecules/cell
S000001913	Igd1p	YFR017C	2483.0	molecules/cell
S000001914	Yfr018Cp	YFR018C	2119.0	molecules/cell
S000001915	Fab1p	YFR019W	652.0	molecules/cell
S000001916	Css2p	YFR020W	1180.0	molecules/cell
S000001917	Atg18p	YFR021W	1929.0	molecules/cell
S000001918	Rog3p	YFR022W	678.0	molecules/cell
S000001919	Pes4p	YFR023W	1190.0	molecules/cell
S000001921	His2p	YFR025C	3257.0	molecules/cell
S000001922	Uli1p	YFR026C	1016.0	molecules/cell
S000001923	Eco1p	YFR027W	210.0	molecules/cell
S000001924	Cdc14p	YFR028C	3030.0	molecules/cell
S000001925	Ptr3p	YFR029W	371.0	molecules/cell
S000001926	Met10p	YFR030W	5327.0	molecules/cell
S000001927	Smc2p	YFR031C	1833.0	molecules/cell
S000001928	Rrt5p	YFR032C	""	""
S000001929	Qcr6p	YFR033C	5867.0	molecules/cell
S000001930	Pho4p	YFR034C	2560.0	molecules/cell
S000001931	Yfr035Cp	YFR035C	""	""
S000001932	Cdc26p	YFR036W	2537.0	molecules/cell
S000001933	Rsc8p	YFR037C	7401.0	molecules/cell
S000001934	Irc5p	YFR038W	1444.0	molecules/cell
S000001935	Osw7p	YFR039C	1501.0	molecules/cell
S000001936	Sap155p	YFR040W	3506.0	molecules/cell
S000001937	Erj5p	YFR041C	2657.0	molecules/cell
S000001938	Keg1p	YFR042W	1699.0	molecules/cell
S000001939	Irc6p	YFR043C	778.0	molecules/cell
S000001940	Dug1p	YFR044C	23259.0	molecules/cell
S000001941	Mrx20p	YFR045W	710.0	molecules/cell
S000001942	Cnn1p	YFR046C	1283.0	molecules/cell
S000001943	Bna6p	YFR047C	3771.0	molecules/cell
S000001944	Rmd8p	YFR048W	1106.0	molecules/cell
S000001945	Kgd4p	YFR049W	3626.0	molecules/cell
S000001946	Pre4p	YFR050C	15446.0	molecules/cell
S000001947	Ret2p	YFR051C	10752.0	molecules/cell
S000001948	Rpn12p	YFR052W	15018.0	molecules/cell
S000001949	Hxk1p	YFR053C	40800.0	molecules/cell
S000001950	Yfr054Cp	YFR054C	""	""
S000001951	Yfr056Cp	YFR056C	""	""
S000001952	Irc7p	YFR055W	1875.0	molecules/cell
S000001953	Yfr057Wp	YFR057W	1352.0	molecules/cell
S000001954	Mei4p	YER044C-A	""	""
S000001955	Aua1p	YFL010W-A	""	""
S000001956	Cwp2p	YKL096W-A	52209.0	molecules/cell
S000001957	Sae3p	YHR079C-A	1249.0	molecules/cell
S000002100	Vma10p	YHR039C-A	29531.0	molecules/cell
S000002101	Sft1p	YKL006C-A	2420.0	molecules/cell
S000002103	Pmp2p	YEL017C-A	61354.0	molecules/cell
S000002104	Rpl2Ap	YFR031C-A	51078.0	molecules/cell
S000002127	Sbh2p	YER019C-A	4776.0	molecules/cell
S000002128	Sbh1p	YER087C-B	9810.0	molecules/cell
S000002129	Erp1p	YAR002C-A	9253.0	molecules/cell
S000002133	Ptc6p	YCR079W	1350.0	molecules/cell
S000002134	Fun19p	YAL034C	1365.0	molecules/cell
S000002135	Rpl34Ap	YER056C-A	48965.0	molecules/cell
S000002136	Yal004Wp	YAL004W	""	""
S000002137	Yal034C-Bp	YAL034C-B	""	""
S000002138	Yal042C-Ap	YAL042C-A	""	""
S000002139	Yal056C-Ap	YAL056C-A	""	""
S000002140	Tda8p	YAL064C-A	1340.0	molecules/cell
S000002141	Yal064W-Bp	YAL064W-B	1219.0	molecules/cell
S000002142	Pau8p	YAL068C	""	""
S000002143	Yal069Wp	YAL069W	""	""
S000002144	Yar066Wp	YAR066W	""	""
S000002145	Yar075Wp	YAR075W	""	""
S000002146	Ybl005W-Ap	YBL005W-A	""	""
S000002147	Ybl005W-Bp	YBL005W-B	""	""
S000002148	Ybl100W-Ap	YBL100W-A	""	""
S000002149	Ybl100W-Bp	YBL100W-B	""	""
S000002150	Ybl109Wp	YBL109W	""	""
S000002151	Ybl111Cp	YBL111C	1211.0	molecules/cell
S000002152	Ybl112Cp	YBL112C	""	""
S000002153	Ybl113Cp	YBL113C	881.0	molecules/cell
S000002154	Ybr012W-Ap	YBR012W-A	""	""
S000002155	Ybr012W-Bp	YBR012W-B	""	""
S000002156	Rpl19Ap	YBR084C-A	45283.0	molecules/cell
S000002157	Nhp6Bp	YBR089C-A	7847.0	molecules/cell
S000002158	Ysy6p	YBR162W-A	2079.0	molecules/cell
S000002159	Rmd1p	YDL001W	1782.0	molecules/cell
S000002160	Nhp10p	YDL002C	3015.0	molecules/cell
S000002161	Mcd1p	YDL003W	2134.0	molecules/cell
S000002162	Atp16p	YDL004W	11900.0	molecules/cell
S000002163	Med2p	YDL005C	2969.0	molecules/cell
S000002164	Ptc1p	YDL006W	1520.0	molecules/cell
S000002165	Rpt2p	YDL007W	15168.0	molecules/cell
S000002166	Apc11p	YDL008W	2709.0	molecules/cell
S000002167	Ydl009Cp	YDL009C	""	""
S000002168	Grx6p	YDL010W	2453.0	molecules/cell
S000002169	Ydl011Cp	YDL011C	""	""
S000002170	Ydl012Cp	YDL012C	2988.0	molecules/cell
S000002171	Slx5p	YDL013W	312.0	molecules/cell
S000002172	Nop1p	YDL014W	24153.0	molecules/cell
S000002173	Tsc13p	YDL015C	7707.0	molecules/cell
S000002174	Ydl016Cp	YDL016C	""	""
S000002175	Cdc7p	YDL017W	1562.0	molecules/cell
S000002176	Erp3p	YDL018C	3442.0	molecules/cell
S000002177	Osh2p	YDL019C	2981.0	molecules/cell
S000002178	Rpn4p	YDL020C	1487.0	molecules/cell
S000002179	Gpm2p	YDL021W	4285.0	molecules/cell
S000002180	Gpd1p	YDL022W	26223.0	molecules/cell
S000002181	Ydl023Cp	YDL023C	""	""
S000002182	Dia3p	YDL024C	""	molecules/cell
S000002183	Rtk1p	YDL025C	3256.0	molecules/cell
S000002184	Ydl026Wp	YDL026W	""	""
S000002185	Mrx9p	YDL027C	1348.0	molecules/cell
S000002186	Mps1p	YDL028C	536.0	molecules/cell
S000002187	Arp2p	YDL029W	16063.0	molecules/cell
S000002188	Prp9p	YDL030W	1355.0	molecules/cell
S000002189	Dbp10p	YDL031W	5504.0	molecules/cell
S000002190	Ydl032Wp	YDL032W	""	""
S000002191	Slm3p	YDL033C	1170.0	molecules/cell
S000002192	Ydl034Wp	YDL034W	""	""
S000002193	Gpr1p	YDL035C	1153.0	molecules/cell
S000002194	Pus9p	YDL036C	1727.0	molecules/cell
S000002195	Bsc1p	YDL037C	""	molecules/cell
S000002197	Prm7p	YDL039C	""	""
S000002198	Nat1p	YDL040C	8398.0	molecules/cell
S000002199	Ydl041Wp	YDL041W	""	""
S000002200	Sir2p	YDL042C	2711.0	molecules/cell
S000002201	Prp11p	YDL043C	2349.0	molecules/cell
S000002202	Mtf2p	YDL044C	1992.0	molecules/cell
S000002203	Fad1p	YDL045C	1855.0	molecules/cell
S000002204	Npc2p	YDL046W	2840.0	molecules/cell
S000002205	Sit4p	YDL047W	4289.0	molecules/cell
S000002206	Stp4p	YDL048C	1537.0	molecules/cell
S000002207	Knh1p	YDL049C	""	""
S000002208	Ydl050Cp	YDL050C	""	""
S000002209	Lhp1p	YDL051W	8346.0	molecules/cell
S000002210	Slc1p	YDL052C	8692.0	molecules/cell
S000002211	Pbp4p	YDL053C	4469.0	molecules/cell
S000002212	Mch1p	YDL054C	1575.0	molecules/cell
S000002213	Psa1p	YDL055C	104294.0	molecules/cell
S000002214	Mbp1p	YDL056W	1394.0	molecules/cell
S000002215	Ydl057Wp	YDL057W	1184.0	molecules/cell
S000002216	Uso1p	YDL058W	3460.0	molecules/cell
S000002217	Rad59p	YDL059C	1140.0	molecules/cell
S000002218	Tsr1p	YDL060W	4912.0	molecules/cell
S000002219	Rps29Bp	YDL061C	31924.0	molecules/cell
S000002220	Ydl062Wp	YDL062W	""	""
S000002221	Syo1p	YDL063C	3014.0	molecules/cell
S000002222	Ubc9p	YDL064W	5656.0	molecules/cell
S000002223	Pex19p	YDL065C	4831.0	molecules/cell
S000002224	Idp1p	YDL066W	23120.0	molecules/cell
S000002225	Cox9p	YDL067C	6217.0	molecules/cell
S000002226	Ydl068Wp	YDL068W	""	""
S000002227	Cbs1p	YDL069C	556.0	molecules/cell
S000002228	Bdf2p	YDL070W	2374.0	molecules/cell
S000002229	Ydl071Cp	YDL071C	""	""
S000002230	Yet3p	YDL072C	8579.0	molecules/cell
S000002231	Ahk1p	YDL073W	368.0	molecules/cell
S000002232	Bre1p	YDL074C	3447.0	molecules/cell
S000002233	Rpl31Ap	YDL075W	54812.0	molecules/cell
S000002234	Rxt3p	YDL076C	2375.0	molecules/cell
S000002235	Vam6p	YDL077C	1347.0	molecules/cell
S000002236	Mdh3p	YDL078C	9783.0	molecules/cell
S000002237	Mrk1p	YDL079C	4699.0	molecules/cell
S000002238	Thi3p	YDL080C	1453.0	molecules/cell
S000002239	Rpp1Ap	YDL081C	134732.0	molecules/cell
S000002240	Rpl13Ap	YDL082W	51290.0	molecules/cell
S000002241	Rps16Bp	YDL083C	29939.0	molecules/cell
S000002242	Sub2p	YDL084W	29329.0	molecules/cell
S000002243	Nde2p	YDL085W	1186.0	molecules/cell
S000002244	Ydl086Wp	YDL086W	8453.0	molecules/cell
S000002245	Luc7p	YDL087C	1994.0	molecules/cell
S000002246	Asm4p	YDL088C	3387.0	molecules/cell
S000002247	Nur1p	YDL089W	1165.0	molecules/cell
S000002248	Ram1p	YDL090C	1972.0	molecules/cell
S000002249	Ubx3p	YDL091C	1356.0	molecules/cell
S000002250	Srp14p	YDL092W	5858.0	molecules/cell
S000002251	Pmt5p	YDL093W	606.0	molecules/cell
S000002252	Ydl094Cp	YDL094C	""	""
S000002253	Pmt1p	YDL095W	5231.0	molecules/cell
S000002254	Opi6p	YDL096C	""	""
S000002255	Rpn6p	YDL097C	13137.0	molecules/cell
S000002256	Snu23p	YDL098C	1530.0	molecules/cell
S000002257	Bug1p	YDL099W	4201.0	molecules/cell
S000002258	Get3p	YDL100C	17300.0	molecules/cell
S000002259	Dun1p	YDL101C	1729.0	molecules/cell
S000002260	Pol3p	YDL102W	3354.0	molecules/cell
S000002261	Qri1p	YDL103C	6707.0	molecules/cell
S000002262	Qri7p	YDL104C	712.0	molecules/cell
S000002263	Nse4p	YDL105W	892.0	molecules/cell
S000002264	Pho2p	YDL106C	2345.0	molecules/cell
S000002265	Mss2p	YDL107W	736.0	molecules/cell
S000002266	Kin28p	YDL108W	2151.0	molecules/cell
S000002267	Ydl109Cp	YDL109C	195.0	molecules/cell
S000002268	Tma17p	YDL110C	4873.0	molecules/cell
S000002269	Rrp42p	YDL111C	4315.0	molecules/cell
S000002270	Trm3p	YDL112W	2626.0	molecules/cell
S000002271	Atg20p	YDL113C	2160.0	molecules/cell
S000002272	Ydl114Wp	YDL114W	1051.0	molecules/cell
S000002273	Iwr1p	YDL115C	2056.0	molecules/cell
S000002274	Nup84p	YDL116W	4730.0	molecules/cell
S000002275	Cyk3p	YDL117W	1515.0	molecules/cell
S000002276	Ydl118Wp	YDL118W	""	""
S000002277	Hem25p	YDL119C	1054.0	molecules/cell
S000002278	Yfh1p	YDL120W	2716.0	molecules/cell
S000002279	Exp1p	YDL121C	4979.0	molecules/cell
S000002280	Ubp1p	YDL122W	5029.0	molecules/cell
S000002281	Sna4p	YDL123W	5337.0	molecules/cell
S000002282	Ydl124Wp	YDL124W	22260.0	molecules/cell
S000002283	Hnt1p	YDL125C	11951.0	molecules/cell
S000002284	Cdc48p	YDL126C	29012.0	molecules/cell
S000002285	Pcl2p	YDL127W	2847.0	molecules/cell
S000002286	Vcx1p	YDL128W	3352.0	molecules/cell
S000002287	Ydl129Wp	YDL129W	1467.0	molecules/cell
S000002288	Rpp1Bp	YDL130W	119013.0	molecules/cell
S000002289	Lys21p	YDL131W	20130.0	molecules/cell
S000002290	Cdc53p	YDL132W	3627.0	molecules/cell
S000002291	Srf1p	YDL133W	714.0	molecules/cell
S000002292	Pph21p	YDL134C	3736.0	molecules/cell
S000002293	Rpl41Bp	YDL133C-A	103128.0	molecules/cell
S000002294	Rdi1p	YDL135C	7184.0	molecules/cell
S000002295	Rpl35Bp	YDL136W	41748.0	molecules/cell
S000002296	Arf2p	YDL137W	10072.0	molecules/cell
S000002297	Rgt2p	YDL138W	1252.0	molecules/cell
S000002298	Scm3p	YDL139C	622.0	molecules/cell
S000002299	Rpo21p	YDL140C	16113.0	molecules/cell
S000002300	Bpl1p	YDL141W	4195.0	molecules/cell
S000002301	Crd1p	YDL142C	699.0	molecules/cell
S000002302	Cct4p	YDL143W	20420.0	molecules/cell
S000002303	Ydl144Cp	YDL144C	2760.0	molecules/cell
S000002304	Cop1p	YDL145C	16265.0	molecules/cell
S000002305	Ldb17p	YDL146W	838.0	molecules/cell
S000002306	Rpn5p	YDL147W	14645.0	molecules/cell
S000002307	Nop14p	YDL148C	7095.0	molecules/cell
S000002308	Atg9p	YDL149W	767.0	molecules/cell
S000002309	Rpc53p	YDL150W	4195.0	molecules/cell
S000002310	Bud30p	YDL151C	""	""
S000002311	Ydl152Wp	YDL152W	""	""
S000002312	Sas10p	YDL153C	6042.0	molecules/cell
S000002313	Msh5p	YDL154W	""	""
S000002314	Clb3p	YDL155W	892.0	molecules/cell
S000002315	Cmr1p	YDL156W	1850.0	molecules/cell
S000002316	Dmo2p	YDL157C	1532.0	molecules/cell
S000002317	Ydl158Cp	YDL158C	""	""
S000002318	Ste7p	YDL159W	1466.0	molecules/cell
S000002319	Dhh1p	YDL160C	12762.0	molecules/cell
S000002320	Ent1p	YDL161W	3669.0	molecules/cell
S000002321	Ydl162Cp	YDL162C	""	""
S000002322	Ydl163Wp	YDL163W	""	""
S000002323	Cdc9p	YDL164C	3108.0	molecules/cell
S000002324	Cdc36p	YDL165W	3237.0	molecules/cell
S000002325	Fap7p	YDL166C	4401.0	molecules/cell
S000002326	Nrp1p	YDL167C	2785.0	molecules/cell
S000002327	Sfa1p	YDL168W	8370.0	molecules/cell
S000002328	Ugx2p	YDL169C	1180.0	molecules/cell
S000002329	Uga3p	YDL170W	1226.0	molecules/cell
S000002330	Glt1p	YDL171C	12015.0	molecules/cell
S000002331	Ydl172Cp	YDL172C	""	""
S000002332	Par32p	YDL173W	4376.0	molecules/cell
S000002333	Dld1p	YDL174C	7164.0	molecules/cell
S000002334	Air2p	YDL175C	1750.0	molecules/cell
S000002335	Gid12p	YDL176W	339.0	molecules/cell
S000002336	Ydl177Cp	YDL177C	1333.0	molecules/cell
S000002337	Dld2p	YDL178W	7227.0	molecules/cell
S000002338	Pcl9p	YDL179W	1061.0	molecules/cell
S000002339	Ait1p	YDL180W	830.0	molecules/cell
S000002340	Inh1p	YDL181W	4583.0	molecules/cell
S000002341	Lys20p	YDL182W	21258.0	molecules/cell
S000002342	Mrx19p	YDL183C	764.0	molecules/cell
S000002343	Rpl41Ap	YDL184C	106439.0	molecules/cell
S000002344	Vma1p	YDL185W	64990.0	molecules/cell
S000002345	Ydl186Wp	YDL186W	""	""
S000002346	Ydl187Cp	YDL187C	""	""
S000002347	Pph22p	YDL188C	3949.0	molecules/cell
S000002348	Rbs1p	YDL189W	2254.0	molecules/cell
S000002349	Ufd2p	YDL190C	4158.0	molecules/cell
S000002350	Rpl35Ap	YDL191W	69549.0	molecules/cell
S000002351	Arf1p	YDL192W	33643.0	molecules/cell
S000002352	Nus1p	YDL193W	3711.0	molecules/cell
S000002353	Snf3p	YDL194W	249.0	molecules/cell
S000002354	Sec31p	YDL195W	19566.0	molecules/cell
S000002355	Ydl196Wp	YDL196W	""	""
S000002356	Asf2p	YDL197C	1240.0	molecules/cell
S000002357	Ggc1p	YDL198C	11017.0	molecules/cell
S000002358	Ydl199Cp	YDL199C	1263.0	molecules/cell
S000002359	Mgt1p	YDL200C	704.0	molecules/cell
S000002360	Trm8p	YDL201W	4535.0	molecules/cell
S000002361	Mrpl11p	YDL202W	3448.0	molecules/cell
S000002362	Ack1p	YDL203C	1153.0	molecules/cell
S000002363	Rtn2p	YDL204W	4592.0	molecules/cell
S000002364	Hem3p	YDL205C	5529.0	molecules/cell
S000002365	Ycx1p	YDL206W	1128.0	molecules/cell
S000002366	Gle1p	YDL207W	1884.0	molecules/cell
S000002367	Nhp2p	YDL208W	17222.0	molecules/cell
S000002368	Cwc2p	YDL209C	1829.0	molecules/cell
S000002369	Uga4p	YDL210W	""	molecules/cell
S000002370	Ydl211Cp	YDL211C	2152.0	molecules/cell
S000002371	Shr3p	YDL212W	4860.0	molecules/cell
S000002372	Nop6p	YDL213C	5221.0	molecules/cell
S000002373	Prr2p	YDL214C	""	molecules/cell
S000002374	Gdh2p	YDL215C	6754.0	molecules/cell
S000002375	Rri1p	YDL216C	742.0	molecules/cell
S000002376	Tim22p	YDL217C	1533.0	molecules/cell
S000002377	Ydl218Wp	YDL218W	1130.0	molecules/cell
S000002378	Dtd1p	YDL219W	4610.0	molecules/cell
S000002379	Cdc13p	YDL220C	319.0	molecules/cell
S000002380	Ydl221Wp	YDL221W	""	""
S000002381	Fmp45p	YDL222C	2271.0	molecules/cell
S000002382	Hbt1p	YDL223C	5310.0	molecules/cell
S000002383	Whi4p	YDL224C	3069.0	molecules/cell
S000002384	Shs1p	YDL225W	5365.0	molecules/cell
S000002385	Gcs1p	YDL226C	9068.0	molecules/cell
S000002386	Hop	YDL227C	""	""
S000002387	Ydl228Cp	YDL228C	""	""
S000002388	Ssb1p	YDL229W	22452.0	molecules/cell
S000002389	Ptp1p	YDL230W	2394.0	molecules/cell
S000002390	Bre4p	YDL231C	426.0	molecules/cell
S000002391	Ost4p	YDL232W	14004.0	molecules/cell
S000002392	Mfg1p	YDL233W	1010.0	molecules/cell
S000002393	Gyp7p	YDL234C	2243.0	molecules/cell
S000002394	Ypd1p	YDL235C	5906.0	molecules/cell
S000002395	Pho13p	YDL236W	8772.0	molecules/cell
S000002396	Aim6p	YDL237W	6231.0	molecules/cell
S000002397	Gud1p	YDL238C	984.0	molecules/cell
S000002398	Ady3p	YDL239C	""	""
S000002399	Lrg1p	YDL240W	1355.0	molecules/cell
S000002400	Ydl241Wp	YDL241W	1300.0	molecules/cell
S000002401	Ydl242Wp	YDL242W	""	""
S000002402	Aad4p	YDL243C	3504.0	molecules/cell
S000002403	Thi13p	YDL244W	1344.0	molecules/cell
S000002404	Hxt15p	YDL245C	1370.0	molecules/cell
S000002405	Sor2p	YDL246C	1139.0	molecules/cell
S000002406	Mph2p	YDL247W	9695.0	molecules/cell
S000002407	Cos7p	YDL248W	1103.0	molecules/cell
S000002408	Nth1p	YDR001C	5020.0	molecules/cell
S000002409	Yrb1p	YDR002W	22691.0	molecules/cell
S000002410	Rcr2p	YDR003W	2217.0	molecules/cell
S000002411	Rad57p	YDR004W	1157.0	molecules/cell
S000002412	Maf1p	YDR005C	1720.0	molecules/cell
S000002413	Sok1p	YDR006C	1891.0	molecules/cell
S000002414	Trp1p	YDR007W	2532.0	molecules/cell
S000002415	Ydr008Cp	YDR008C	""	""
S000002416	Gal3p	YDR009W	863.0	molecules/cell
S000002417	Ydr010Cp	YDR010C	""	""
S000002418	Snq2p	YDR011W	4095.0	molecules/cell
S000002419	Rpl4Bp	YDR012W	36864.0	molecules/cell
S000002420	Psf1p	YDR013W	1132.0	molecules/cell
S000002421	Rad61p	YDR014W	848.0	molecules/cell
S000002422	Ydr015Cp	YDR015C	""	""
S000002423	Dad1p	YDR016C	2459.0	molecules/cell
S000002424	Kcs1p	YDR017C	2809.0	molecules/cell
S000002425	Mlg1p	YDR018C	1165.0	molecules/cell
S000002426	Gcv1p	YDR019C	11406.0	molecules/cell
S000002427	Das2p	YDR020C	2826.0	molecules/cell
S000002428	Fal1p	YDR021W	2203.0	molecules/cell
S000002429	Atg31p	YDR022C	486.0	molecules/cell
S000002430	Ses1p	YDR023W	41861.0	molecules/cell
S000002431	Fyv1p	YDR024W	""	""
S000002432	Rps11Ap	YDR025W	59924.0	molecules/cell
S000002433	Nsi1p	YDR026C	898.0	molecules/cell
S000002434	Vps54p	YDR027C	2323.0	molecules/cell
S000002435	Reg1p	YDR028C	4140.0	molecules/cell
S000002436	Ydr029Wp	YDR029W	""	molecules/cell
S000002437	Rad28p	YDR030C	""	""
S000002438	Mix14p	YDR031W	3705.0	molecules/cell
S000002439	Pst2p	YDR032C	14727.0	molecules/cell
S000002440	Mrh1p	YDR033W	22479.0	molecules/cell
S000002441	Lys14p	YDR034C	1667.0	molecules/cell
S000002442	Aro3p	YDR035W	14267.0	molecules/cell
S000002443	Ehd3p	YDR036C	4212.0	molecules/cell
S000002444	Krs1p	YDR037W	34286.0	molecules/cell
S000002445	Ena5p	YDR038C	2154.0	molecules/cell
S000002446	Ena2p	YDR039C	2448.0	molecules/cell
S000002447	Ena1p	YDR040C	2891.0	molecules/cell
S000002448	Rsm10p	YDR041W	3852.0	molecules/cell
S000002449	Ydr042Cp	YDR042C	1309.0	molecules/cell
S000002450	Nrg1p	YDR043C	1323.0	molecules/cell
S000002451	Hem13p	YDR044W	5996.0	molecules/cell
S000002452	Rpc11p	YDR045C	2571.0	molecules/cell
S000002453	Bap3p	YDR046C	5922.0	molecules/cell
S000002454	Hem12p	YDR047W	4391.0	molecules/cell
S000002455	Ydr048Cp	YDR048C	""	""
S000002456	Vms1p	YDR049W	3086.0	molecules/cell
S000002457	Tpi1p	YDR050C	121824.0	molecules/cell
S000002458	Det1p	YDR051C	2963.0	molecules/cell
S000002459	Dbf4p	YDR052C	902.0	molecules/cell
S000002460	Ydr053Wp	YDR053W	""	""
S000002461	Cdc34p	YDR054C	4374.0	molecules/cell
S000002462	Pst1p	YDR055W	3762.0	molecules/cell
S000002463	Emc10p	YDR056C	5137.0	molecules/cell
S000002464	Yos9p	YDR057W	1153.0	molecules/cell
S000002465	Tgl2p	YDR058C	894.0	molecules/cell
S000002466	Ubc5p	YDR059C	3333.0	molecules/cell
S000002467	Mak21p	YDR060W	7462.0	molecules/cell
S000002468	Ydr061Wp	YDR061W	3422.0	molecules/cell
S000002469	Lcb2p	YDR062W	5539.0	molecules/cell
S000002470	Aim7p	YDR063W	3849.0	molecules/cell
S000002471	Rps13p	YDR064W	62207.0	molecules/cell
S000002472	Rrg1p	YDR065W	1463.0	molecules/cell
S000002473	Rtr2p	YDR066C	1718.0	molecules/cell
S000002474	Oca6p	YDR067C	1692.0	molecules/cell
S000002475	Dos2p	YDR068W	3630.0	molecules/cell
S000002476	Doa4p	YDR069C	1408.0	molecules/cell
S000002477	Fmp16p	YDR070C	6853.0	molecules/cell
S000002478	Paa1p	YDR071C	20526.0	molecules/cell
S000002479	Ipt1p	YDR072C	1446.0	molecules/cell
S000002480	Snf11p	YDR073W	1258.0	molecules/cell
S000002481	Tps2p	YDR074W	16558.0	molecules/cell
S000002482	Pph3p	YDR075W	1731.0	molecules/cell
