up:P38110	sce:YBL088C
up:P38176	sce:YBL089W
up:P38175	sce:YBL090W
up:P38174	sce:YBL091C
up:Q6Q595	sce:YBL091C-A
up:P38061	sce:YBL092W
up:P25046	sce:YBL093C
up:P38172	sce:YBL095W
up:P38170	sce:YBL097W
up:P38169	sce:YBL098W
up:P07251	sce:YBL099W
up:Q12260	sce:YBL100W-A
up:Q12491	sce:YBL100W-B
up:P0C269	sce:YBL100W-C
up:P38167	sce:YBL101C
up:P38166	sce:YBL102W
up:P38165	sce:YBL103C
up:P38164	sce:YBL104C
up:P24583	sce:YBL105C
up:P38163	sce:YBL106C
up:P38162	sce:YBL107C
up:Q3E7Y5	sce:YBL111C
up:Q3E7Y4	sce:YBL112C
up:A0A023PXF5	sce:YBL112C
up:Q7M4S9	sce:YBL113C
up:P35172	sce:YBR001C
up:P35196	sce:YBR002C
up:P18900	sce:YBR003W
up:P38211	sce:YBR004C
up:P38212	sce:YBR005W
up:P38067	sce:YBR006W
up:P38213	sce:YBR007C
up:P38124	sce:YBR008C
up:P02309	sce:YBR009C
up:P61830	sce:YBR010W
up:P00817	sce:YBR011C
up:Q12217	sce:YBR012W-A
up:Q12193	sce:YBR012W-B
up:P38215	sce:YBR013C
up:P38068	sce:YBR014C
up:P38069	sce:YBR015C
up:P38216	sce:YBR016W
up:P38217	sce:YBR017C
up:P08431	sce:YBR018C
up:P04397	sce:YBR019C
up:P04385	sce:YBR020W
up:P05316	sce:YBR021W
up:P38218	sce:YBR022W
up:P29465	sce:YBR023C
up:P38072	sce:YBR024W
up:P38219	sce:YBR025C
up:P38071	sce:YBR026C
up:P38220	sce:YBR027C
up:P38070	sce:YBR028C
up:P38221	sce:YBR029C
up:P38222	sce:YBR030W
up:P10664	sce:YBR031W
up:P38223	sce:YBR032W
up:P38073	sce:YBR033W
up:P38074	sce:YBR034C
up:P38075	sce:YBR035C
up:P35206	sce:YBR036C
up:P23833	sce:YBR037C
up:P14180	sce:YBR038W
up:P38077	sce:YBR039W
up:P38224	sce:YBR040W
up:P38225	sce:YBR041W
up:P38226	sce:YBR042C
up:P38227	sce:YBR043C
up:P38228	sce:YBR044C
up:P38229	sce:YBR045C
up:P38230	sce:YBR046C
up:P38231	sce:YBR047W
up:P0CX47	sce:YBR048W
up:P0CX48	sce:YBR048W
up:P21538	sce:YBR049C
up:P38232	sce:YBR050C
up:P38234	sce:YBR052C
up:P38235	sce:YBR053C
up:P38079	sce:YBR054W
up:P19735	sce:YBR055C
up:P38081	sce:YBR056W
up:I2HB52	sce:YBR056W-A
up:P38236	sce:YBR057C
up:P38237	sce:YBR058C
up:Q3E790	sce:YBR058C-A
up:P38080	sce:YBR059C
up:P32833	sce:YBR060C
up:P38238	sce:YBR061C
up:P38239	sce:YBR062C
up:P38083	sce:YBR063C
up:P38241	sce:YBR065C
up:P38082	sce:YBR066C
up:P27654	sce:YBR067C
up:P38084	sce:YBR068C
up:P38085	sce:YBR069C
up:P38242	sce:YBR070C
up:P38243	sce:YBR071W
up:Q3E794	sce:YBR072C-A
up:P15992	sce:YBR072W
up:P38086	sce:YBR073W
up:P38244	sce:YBR074W
up:P38246	sce:YBR076W
up:P38247	sce:YBR077C
up:P38248	sce:YBR078W
up:P38249	sce:YBR079C
up:P18759	sce:YBR080C
up:P35177	sce:YBR081C
up:P15731	sce:YBR082C
up:P18412	sce:YBR083W
up:P0CX82	sce:YBR084C-A
up:P0CX83	sce:YBR084C-A
up:P09440	sce:YBR084W
up:O43137	sce:YBR085C-A
up:P18238	sce:YBR085W
up:P38250	sce:YBR086C
up:P38251	sce:YBR087W
up:P15873	sce:YBR088C
up:P11633	sce:YBR089C-A
up:P38253	sce:YBR090C
up:P32830	sce:YBR091C
up:P24031	sce:YBR092C
up:P00635	sce:YBR093C
up:P38254	sce:YBR094W
up:P38255	sce:YBR095C
up:P38256	sce:YBR096W
up:P22219	sce:YBR097W
up:P38257	sce:YBR098W
up:P38260	sce:YBR101C
up:P38261	sce:YBR102C
up:P38262	sce:YBR103W
up:P38087	sce:YBR104W
up:P38263	sce:YBR105C
up:P38264	sce:YBR106W
up:P38265	sce:YBR107C
up:P38266	sce:YBR108W
up:P06787	sce:YBR109C
up:P16661	sce:YBR110W
up:Q01976	sce:YBR111C
up:Q6WNK7	sce:YBR111W-A
up:P14922	sce:YBR112C
up:P31244	sce:YBR114W
up:P07702	sce:YBR115C
up:P33315	sce:YBR117C
up:P02994	sce:YBR118W
up:P32605	sce:YBR119W
up:P07253	sce:YBR120C
up:P38088	sce:YBR121C
up:P36531	sce:YBR122C
up:P32367	sce:YBR123C
up:P38089	sce:YBR125C
up:Q00764	sce:YBR126C
up:Q8TGU7	sce:YBR126W-A
up:P16140	sce:YBR127C
up:P38270	sce:YBR128C
up:P38271	sce:YBR129C
up:P38272	sce:YBR130C
up:P38273	sce:YBR131W
up:P38090	sce:YBR132C
up:P38274	sce:YBR133C
up:P20486	sce:YBR135W
up:P38111	sce:YBR136W
up:P38276	sce:YBR137W
up:P38277	sce:YBR138C
