PATHWAY.name	SYSTEMATIC.name
Aminoacyl-tRNA biosynthesis	YNCL0044W
Aminoacyl-tRNA biosynthesis	YNCB0018W
Aminoacyl-tRNA biosynthesis	YNCK0005C
Aminoacyl-tRNA biosynthesis	YNCE0027C
Aminoacyl-tRNA biosynthesis	YNCC0001C
Aminoacyl-tRNA biosynthesis	YNCI0011W
Aminoacyl-tRNA biosynthesis	YNCM0010W
Aminoacyl-tRNA biosynthesis	YNCD0021C
Aminoacyl-tRNA biosynthesis	YNCI0004W
Aminoacyl-tRNA biosynthesis	tE_UUC_Q
Aminoacyl-tRNA biosynthesis	YNCG0039W
Aminoacyl-tRNA biosynthesis	YNCJ0017C
Aminoacyl-tRNA biosynthesis	YNCP0009W
Aminoacyl-tRNA biosynthesis	YNCD0020W
Aminoacyl-tRNA biosynthesis	YNCF0008C
Aminoacyl-tRNA biosynthesis	YNCE0004C
Aminoacyl-tRNA biosynthesis	YNCO0009W
Aminoacyl-tRNA biosynthesis	YNCC0007C
Aminoacyl-tRNA biosynthesis	YNCM0007C
Aminoacyl-tRNA biosynthesis	YNCG0043C
Aminoacyl-tRNA biosynthesis	YNCO0004C
Aminoacyl-tRNA biosynthesis	YNCP0023W
Aminoacyl-tRNA biosynthesis	YNCJ0024W
Aminoacyl-tRNA biosynthesis	YNCF0006W
Aminoacyl-tRNA biosynthesis	YNCD0001W
Aminoacyl-tRNA biosynthesis	YNCB0005C
Aminoacyl-tRNA biosynthesis	YNCO0020C
Aminoacyl-tRNA biosynthesis	YNCD0027C
Aminoacyl-tRNA biosynthesis	YNCG0035W
Aminoacyl-tRNA biosynthesis	YNCO0001C
Aminoacyl-tRNA biosynthesis	YNCN0002C
Aminoacyl-tRNA biosynthesis	tG_UCC_Q
Aminoacyl-tRNA biosynthesis	YNCE0013W
Aminoacyl-tRNA biosynthesis	YNCH0001W
Aminoacyl-tRNA biosynthesis	YNCG0003C
Aminoacyl-tRNA biosynthesis	YNCG0011W
Aminoacyl-tRNA biosynthesis	YNCK0012C
Aminoacyl-tRNA biosynthesis	YNCM0020W
Aminoacyl-tRNA biosynthesis	YNCE0021C
Aminoacyl-tRNA biosynthesis	tH_GUG_Q
Aminoacyl-tRNA biosynthesis	YNCD0015C
Aminoacyl-tRNA biosynthesis	YNCG0033W
Aminoacyl-tRNA biosynthesis	YNCI0005W
Aminoacyl-tRNA biosynthesis	YNCN0012C
Aminoacyl-tRNA biosynthesis	YNCP0024C
Aminoacyl-tRNA biosynthesis	YNCL0051C
Aminoacyl-tRNA biosynthesis	YNCP0020W
Aminoacyl-tRNA biosynthesis	YNCL0038W
Aminoacyl-tRNA biosynthesis	YNCN0015W
Aminoacyl-tRNA biosynthesis	YNCI0003C
Aminoacyl-tRNA biosynthesis	YNCE0025C
Aminoacyl-tRNA biosynthesis	YNCE0029C
Aminoacyl-tRNA biosynthesis	YNCB0004W
Aminoacyl-tRNA biosynthesis	YNCD0017W
Aminoacyl-tRNA biosynthesis	tI_GAU_Q
Aminoacyl-tRNA biosynthesis	YNCL0033C
Aminoacyl-tRNA biosynthesis	YNCD0008W
Aminoacyl-tRNA biosynthesis	YNCL0049C
Aminoacyl-tRNA biosynthesis	YNCB0012W
Aminoacyl-tRNA biosynthesis	YNCN0020C
Aminoacyl-tRNA biosynthesis	YNCJ0021C
Aminoacyl-tRNA biosynthesis	YNCB0001W
Aminoacyl-tRNA biosynthesis	YNCK0004W
Aminoacyl-tRNA biosynthesis	YNCG0019W
Aminoacyl-tRNA biosynthesis	YNCN0007W
Aminoacyl-tRNA biosynthesis	YNCL0034W
Aminoacyl-tRNA biosynthesis	YNCM0027W
Aminoacyl-tRNA biosynthesis	YNCA0005W
Aminoacyl-tRNA biosynthesis	YNCK0016W
Aminoacyl-tRNA biosynthesis	YNCG0008W
Aminoacyl-tRNA biosynthesis	YNCC0002W
Aminoacyl-tRNA biosynthesis	YNCG0028W
Aminoacyl-tRNA biosynthesis	YNCJ0029W
Aminoacyl-tRNA biosynthesis	YNCL0037W
Aminoacyl-tRNA biosynthesis	tL_UAA_Q
Aminoacyl-tRNA biosynthesis	YNCL0032C
Aminoacyl-tRNA biosynthesis	YNCD0031C
Aminoacyl-tRNA biosynthesis	YNCG0040C
Aminoacyl-tRNA biosynthesis	YNCK0021W
Aminoacyl-tRNA biosynthesis	YNCG0004W
Aminoacyl-tRNA biosynthesis	YNCL0047W
Aminoacyl-tRNA biosynthesis	YNCO0016W
Aminoacyl-tRNA biosynthesis	YNCD0003W
Aminoacyl-tRNA biosynthesis	YNCC0009C
Aminoacyl-tRNA biosynthesis	YNCM0025C
Aminoacyl-tRNA biosynthesis	YNCG0007C
Aminoacyl-tRNA biosynthesis	YNCG0005W
Aminoacyl-tRNA biosynthesis	YNCD0029C
Aminoacyl-tRNA biosynthesis	YNCE0009C
Aminoacyl-tRNA biosynthesis	YNCG0041W
Aminoacyl-tRNA biosynthesis	YNCK0007W
Aminoacyl-tRNA biosynthesis	YNCP0010W
Aminoacyl-tRNA biosynthesis	YNCD0026W
Aminoacyl-tRNA biosynthesis	YNCJ0018W
Aminoacyl-tRNA biosynthesis	YNCE0022C
Aminoacyl-tRNA biosynthesis	YNCI0007C
Aminoacyl-tRNA biosynthesis	YNCF0014C
Aminoacyl-tRNA biosynthesis	tK_UUU_Q
Aminoacyl-tRNA biosynthesis	YNCP0017C
Aminoacyl-tRNA biosynthesis	YNCG0029C
Aminoacyl-tRNA biosynthesis	YNCC0008W
Aminoacyl-tRNA biosynthesis	YNCE0006W
Aminoacyl-tRNA biosynthesis	YNCJ0022C
Aminoacyl-tRNA biosynthesis	YNCO0023W
Aminoacyl-tRNA biosynthesis	YNCP0006C
Aminoacyl-tRNA biosynthesis	tM_CAU_Q2
Aminoacyl-tRNA biosynthesis	YNCD0025W
Aminoacyl-tRNA biosynthesis	YNCJ0020W
Aminoacyl-tRNA biosynthesis	YNCM0028C
Aminoacyl-tRNA biosynthesis	YNCO0030W
Aminoacyl-tRNA biosynthesis	YNCJ0016C
Aminoacyl-tRNA biosynthesis	tM_CAU_Q1
Aminoacyl-tRNA biosynthesis	YNCB0002W
Aminoacyl-tRNA biosynthesis	YNCM0019W
Aminoacyl-tRNA biosynthesis	YNCN0006W
Aminoacyl-tRNA biosynthesis	tF_GAA_Q
Aminoacyl-tRNA biosynthesis	YNCG0020C
Aminoacyl-tRNA biosynthesis	YNCH0009C
Aminoacyl-tRNA biosynthesis	YNCP0008C
Aminoacyl-tRNA biosynthesis	YNCD0023C
Aminoacyl-tRNA biosynthesis	YNCF0005C
Aminoacyl-tRNA biosynthesis	YNCH0010C
Aminoacyl-tRNA biosynthesis	YNCP0011C
Aminoacyl-tRNA biosynthesis	YNCA0002W
Aminoacyl-tRNA biosynthesis	YNCN0011W
Aminoacyl-tRNA biosynthesis	YNCL0001W
Aminoacyl-tRNA biosynthesis	YNCN0009W
Aminoacyl-tRNA biosynthesis	YNCO0011W
Aminoacyl-tRNA biosynthesis	YNCF0002W
Aminoacyl-tRNA biosynthesis	YNCO0017W
Aminoacyl-tRNA biosynthesis	YNCO0031W
Aminoacyl-tRNA biosynthesis	YNCC0004C
Aminoacyl-tRNA biosynthesis	YNCN0016C
Aminoacyl-tRNA biosynthesis	tP_UGG_Q
Aminoacyl-tRNA biosynthesis	YNCH0013C
Aminoacyl-tRNA biosynthesis	YNCM0008C
Aminoacyl-tRNA biosynthesis	YNCO0008W
Aminoacyl-tRNA biosynthesis	YNCE0005W
Aminoacyl-tRNA biosynthesis	YNCD0006W
Aminoacyl-tRNA biosynthesis	YNCG0025C
Aminoacyl-tRNA biosynthesis	YNCA0006C
Aminoacyl-tRNA biosynthesis	YNCD0019C
Aminoacyl-tRNA biosynthesis	YNCB0006W
Aminoacyl-tRNA biosynthesis	YNCL0002C
Aminoacyl-tRNA biosynthesis	YNCH0004C
Aminoacyl-tRNA biosynthesis	YNCJ0023C
Aminoacyl-tRNA biosynthesis	YNCM0009C
Aminoacyl-tRNA biosynthesis	YNCD0028W
Aminoacyl-tRNA biosynthesis	YNCE0015C
Aminoacyl-tRNA biosynthesis	YNCP0012W
Aminoacyl-tRNA biosynthesis	YNCI0006W
Aminoacyl-tRNA biosynthesis	YNCC0013W
Aminoacyl-tRNA biosynthesis	tS_UGA_Q2
Aminoacyl-tRNA biosynthesis	YNCL0039W
Aminoacyl-tRNA biosynthesis	tS_GCU_Q1
Aminoacyl-tRNA biosynthesis	YNCD0024C
Aminoacyl-tRNA biosynthesis	YNCF0009C
Aminoacyl-tRNA biosynthesis	tT_UGU_Q1
Aminoacyl-tRNA biosynthesis	YNCH0015W
Aminoacyl-tRNA biosynthesis	YNCG0027W
Aminoacyl-tRNA biosynthesis	YNCP0016W
Aminoacyl-tRNA biosynthesis	YNCG0046W
Aminoacyl-tRNA biosynthesis	YNCI0002W
Aminoacyl-tRNA biosynthesis	YNCO0013C
Aminoacyl-tRNA biosynthesis	YNCJ0001C
Aminoacyl-tRNA biosynthesis	YNCC0014W
Aminoacyl-tRNA biosynthesis	YNCN0004W
Aminoacyl-tRNA biosynthesis	YNCH0003C
Aminoacyl-tRNA biosynthesis	YNCD0005C
Aminoacyl-tRNA biosynthesis	YNCI0009W
Aminoacyl-tRNA biosynthesis	YNCB0007W
Aminoacyl-tRNA biosynthesis	YNCO0002W
Aminoacyl-tRNA biosynthesis	YNCN0010C
Aminoacyl-tRNA biosynthesis	YNCK0002C
Aminoacyl-tRNA biosynthesis	YNCK0010W
Aminoacyl-tRNA biosynthesis	YNCG0009C
Aminoacyl-tRNA biosynthesis	YNCJ0019C
Aminoacyl-tRNA biosynthesis	YNCP0001C
Aminoacyl-tRNA biosynthesis	YNCM0022C
Aminoacyl-tRNA biosynthesis	YNCG0042C
Aminoacyl-tRNA biosynthesis	YNCD0018W
Aminoacyl-tRNA biosynthesis	YNCM0037W
Aminoacyl-tRNA biosynthesis	YNCO0010W
Aminoacyl-tRNA biosynthesis	YNCM0006W
Aminoacyl-tRNA biosynthesis	YNCJ0010W
Aminoacyl-tRNA biosynthesis	YNCF0007W
Aminoacyl-tRNA biosynthesis	tY_GUA_Q
Aminoacyl-tRNA biosynthesis	YNCF0012C
Aminoacyl-tRNA biosynthesis	YNCJ0027C
Aminoacyl-tRNA biosynthesis	YNCG0037W
Aminoacyl-tRNA biosynthesis	YNCM0023C
Aminoacyl-tRNA biosynthesis	YNCG0002C
Aminoacyl-tRNA biosynthesis	YNCE0026W
Aminoacyl-tRNA biosynthesis	YNCM0029C
Aminoacyl-tRNA biosynthesis	YNCK0014W
Aminoacyl-tRNA biosynthesis	YNCJ0015W
Aminoacyl-tRNA biosynthesis	YNCG0018C
Aminoacyl-tRNA biosynthesis	YNCH0002C
Aminoacyl-tRNA biosynthesis	YNCL0036C
Aminoacyl-tRNA biosynthesis	YNCK0011C
Aminoacyl-tRNA biosynthesis	YNCM0021C
Aminoacyl-tRNA biosynthesis	YNCE0023W
Aminoacyl-tRNA biosynthesis	YNCO0021C
Aminoacyl-tRNA biosynthesis	YNCB0011C
Aminoacyl-tRNA biosynthesis	YNCD0007C
Aminoacyl-tRNA biosynthesis	YNCD0022C
Aminoacyl-tRNA biosynthesis	YNCH0016C
Aminoacyl-tRNA biosynthesis	tV_UAC_Q
Aminoacyl-tRNA biosynthesis	tW_UCA_Q
Aminoacyl-tRNA biosynthesis	YOL033W
Aminoacyl-tRNA biosynthesis	YGL245W
Aminoacyl-tRNA biosynthesis	YMR293C
Aminoacyl-tRNA biosynthesis	YBL080C
Aminoacyl-tRNA biosynthesis	YGR102C
Aminoacyl-tRNA biosynthesis	YOR168W
Aminoacyl-tRNA biosynthesis	YOR335C
Aminoacyl-tRNA biosynthesis	YLL018C
Aminoacyl-tRNA biosynthesis	YPL104W
Aminoacyl-tRNA biosynthesis	YHR019C
Aminoacyl-tRNA biosynthesis	YCR024C
Aminoacyl-tRNA biosynthesis	YPR081C
Aminoacyl-tRNA biosynthesis	YBR121C
Aminoacyl-tRNA biosynthesis	YIL078W
Aminoacyl-tRNA biosynthesis	YKL194C
Aminoacyl-tRNA biosynthesis	YHR011W
Aminoacyl-tRNA biosynthesis	YDR023W
Aminoacyl-tRNA biosynthesis	YNL247W
Aminoacyl-tRNA biosynthesis	YGR264C
Aminoacyl-tRNA biosynthesis	YGR171C
Aminoacyl-tRNA biosynthesis	YBL013W
Aminoacyl-tRNA biosynthesis	YGR094W
Aminoacyl-tRNA biosynthesis	YPL160W
Aminoacyl-tRNA biosynthesis	YLR382C
Aminoacyl-tRNA biosynthesis	YPL040C
Aminoacyl-tRNA biosynthesis	YBL076C
Aminoacyl-tRNA biosynthesis	YDR037W
Aminoacyl-tRNA biosynthesis	YNL073W
Aminoacyl-tRNA biosynthesis	YHR091C
Aminoacyl-tRNA biosynthesis	YDR341C
Aminoacyl-tRNA biosynthesis	YER087W
Aminoacyl-tRNA biosynthesis	YHR020W
Aminoacyl-tRNA biosynthesis	YPR033C
Aminoacyl-tRNA biosynthesis	YPR047W
Aminoacyl-tRNA biosynthesis	YFL022C
Aminoacyl-tRNA biosynthesis	YLR060W
Aminoacyl-tRNA biosynthesis	YPL097W
Aminoacyl-tRNA biosynthesis	YGR185C
Aminoacyl-tRNA biosynthesis	YDR268W
Aminoacyl-tRNA biosynthesis	YOL097C
Arachidonic acid metabolism	YKR089C
Arachidonic acid metabolism	YOR081C
Arachidonic acid metabolism	YNL045W
Arginine and proline metabolism	YPR062W
Arginine and proline metabolism	YKL184W
Arginine and proline metabolism	YPR069C
Arginine and proline metabolism	YLR146C
Arginine and proline metabolism	YOL052C
Arginine and proline metabolism	YMR020W
Arginine and proline metabolism	YOR374W
Arginine and proline metabolism	YPL061W
Arginine and proline metabolism	YER073W
Arginine and proline metabolism	YMR110C
Arginine and proline metabolism	YMR169C
Arginine and proline metabolism	YMR170C
Arginine and proline metabolism	YDR242W
Arginine and proline metabolism	YPL111W
Arginine and proline metabolism	YLR438W
Arginine and proline metabolism	YER023W
Arginine and proline metabolism	YLR142W
Arginine and proline metabolism	YHR037W
Arginine and proline metabolism	YDR300C
Arginine and proline metabolism	YHR033W
Arginine and proline metabolism	YOR323C
Arginine and proline metabolism	YLR027C
Arginine and proline metabolism	YKL106W
Arginine biosynthesis	YJL088W
Arginine biosynthesis	YOL058W
Arginine biosynthesis	YHR018C
Arginine biosynthesis	YPL111W
Arginine biosynthesis	YBR208C
Arginine biosynthesis	YPR035W
Arginine biosynthesis	YDL215C
Arginine biosynthesis	YOR375C
Arginine biosynthesis	YAL062W
Arginine biosynthesis	YLR027C
Arginine biosynthesis	YKL106W
Arginine biosynthesis	YDR111C
Arginine biosynthesis	YLR089C
Arginine biosynthesis	YJL071W
Arginine biosynthesis	YMR062C
Arginine biosynthesis	YER069W
Arginine biosynthesis	YOL140W
Ascorbate and aldarate metabolism	YCR105W
Ascorbate and aldarate metabolism	YMR318C
Ascorbate and aldarate metabolism	YOR374W
Ascorbate and aldarate metabolism	YPL061W
Ascorbate and aldarate metabolism	YER073W
Ascorbate and aldarate metabolism	YMR110C
Ascorbate and aldarate metabolism	YMR169C
Ascorbate and aldarate metabolism	YMR170C
Ascorbate and aldarate metabolism	YMR041C
Ascorbate and aldarate metabolism	YBR149W
Ascorbate and aldarate metabolism	YML086C
ATP-dependent chromatin remodeling	YBR245C
ATP-dependent chromatin remodeling	YOR304W
ATP-dependent chromatin remodeling	YDR121W
ATP-dependent chromatin remodeling	YEL056W
ATP-dependent chromatin remodeling	YBR195C
ATP-dependent chromatin remodeling	YNL330C
ATP-dependent chromatin remodeling	YBR289W
ATP-dependent chromatin remodeling	YGL150C
ATP-dependent chromatin remodeling	YEL044W
ATP-dependent chromatin remodeling	YDR190C
ATP-dependent chromatin remodeling	YPL235W
ATP-dependent chromatin remodeling	YNL059C
ATP-dependent chromatin remodeling	YOR141C
ATP-dependent chromatin remodeling	YFL013C
ATP-dependent chromatin remodeling	YNL215W
ATP-dependent chromatin remodeling	YLR052W
ATP-dependent chromatin remodeling	YOR189W
ATP-dependent chromatin remodeling	YER092W
ATP-dependent chromatin remodeling	YPL129W
ATP-dependent chromatin remodeling	YDL002C
ATP-dependent chromatin remodeling	YJL081C
ATP-dependent chromatin remodeling	YDR334W
ATP-dependent chromatin remodeling	YGR002C
ATP-dependent chromatin remodeling	YNL107W
ATP-dependent chromatin remodeling	YDR485C
