GO id;GO term
GO:0097583;C:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex
GO:0097585;C:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex
GO:0005783;C:endoplasmic reticulum
GO:0005789;C:endoplasmic reticulum membrane
GO:0004169;F:dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0009272;P:fungal-type cell wall biogenesis
GO:0006493;P:protein O-linked glycosylation
GO:0035269;P:protein O-linked mannosylation
GO:1900101;P:regulation of endoplasmic reticulum unfolded protein response
